Country;Total games;Wins;Draws;Losses;Scored and missed goals
Brazil;104;70;17;17;221 - 102
Germany;106;66;20;20;224 - 121
Italy;83;45;21;17;128 - 77
Argentina;77;42;14;21;131 - 84
England;62;26;20;16;79 - 56
Spain;59;29;12;18;92 - 66
France;59;28;12;19;106 - 71
Netherlands;50;27;12;11;86 - 48
Uruguay;51;20;12;19;80 - 71
Sweden;46;16;13;17;74 - 69
Russia;40;17;8;15;66 - 47
Serbia;43;17;8;18;64 - 59
Mexico;53;14;14;25;57 - 92
Belgium;41;14;9;18;52 - 66
Poland;31;15;5;11;44 - 40
Hungary;32;15;3;14;87 - 57
Portugal;26;13;4;9;43 - 29
Czech Republic;33;12;5;16;47 - 49
Chile;33;11;7;15;40 - 49
Austria;29;12;4;13;43 - 47
Switzerland;33;11;6;16;45 - 59
Paraguay;27;7;10;10;30 - 38
USA;33;8;6;19;37 - 62
Romania;21;8;5;8;30 - 32
South Korea;31;5;9;17;31 - 67
Denmark;16;8;2;6;27 - 24
Croatia;16;7;2;7;21 - 17
Colombia;18;7;2;9;26 - 27
Scotland;23;4;7;12;25 - 41
Cameroon;23;4;7;12;18 - 43
Costa Rica;15;5;4;6;17 - 23
Bulgaria;26;3;8;15;22 - 53
